,Genero,Idade,AnoMes,Qtd,previsao
0,Homens,0 a 4 anos,2009-01-01,176.0,
1,Homens,0 a 4 anos,2009-02-01,157.0,
2,Homens,0 a 4 anos,2009-03-01,181.0,
3,Homens,0 a 4 anos,2009-04-01,203.0,
4,Homens,0 a 4 anos,2009-05-01,187.0,
5,Homens,0 a 4 anos,2009-06-01,198.0,
6,Homens,0 a 4 anos,2009-07-01,215.0,
7,Homens,0 a 4 anos,2009-08-01,218.0,
8,Homens,0 a 4 anos,2009-09-01,175.0,
9,Homens,0 a 4 anos,2009-10-01,175.0,
10,Homens,0 a 4 anos,2009-11-01,182.0,
11,Homens,0 a 4 anos,2009-12-01,196.0,
12,Homens,0 a 4 anos,2010-01-01,212.0,
13,Homens,0 a 4 anos,2010-02-01,165.0,
14,Homens,0 a 4 anos,2010-03-01,203.0,
15,Homens,0 a 4 anos,2010-04-01,167.0,
16,Homens,0 a 4 anos,2010-05-01,190.0,
17,Homens,0 a 4 anos,2010-06-01,184.0,
18,Homens,0 a 4 anos,2010-07-01,175.0,
19,Homens,0 a 4 anos,2010-08-01,174.0,
20,Homens,0 a 4 anos,2010-09-01,181.0,
21,Homens,0 a 4 anos,2010-10-01,175.0,
22,Homens,0 a 4 anos,2010-11-01,176.0,
23,Homens,0 a 4 anos,2010-12-01,191.0,
24,Homens,0 a 4 anos,2011-01-01,176.0,
25,Homens,0 a 4 anos,2011-02-01,166.0,
26,Homens,0 a 4 anos,2011-03-01,188.0,
27,Homens,0 a 4 anos,2011-04-01,188.0,
28,Homens,0 a 4 anos,2011-05-01,207.0,
29,Homens,0 a 4 anos,2011-06-01,218.0,
30,Homens,0 a 4 anos,2011-07-01,166.0,
31,Homens,0 a 4 anos,2011-08-01,173.0,
32,Homens,0 a 4 anos,2011-09-01,141.0,
33,Homens,0 a 4 anos,2011-10-01,159.0,
34,Homens,0 a 4 anos,2011-11-01,170.0,
35,Homens,0 a 4 anos,2011-12-01,182.0,
36,Homens,0 a 4 anos,2012-01-01,187.0,
37,Homens,0 a 4 anos,2012-02-01,151.0,
38,Homens,0 a 4 anos,2012-03-01,197.0,
39,Homens,0 a 4 anos,2012-04-01,168.0,
40,Homens,0 a 4 anos,2012-05-01,196.0,
41,Homens,0 a 4 anos,2012-06-01,181.0,
42,Homens,0 a 4 anos,2012-07-01,205.0,
43,Homens,0 a 4 anos,2012-08-01,186.0,
44,Homens,0 a 4 anos,2012-09-01,164.0,
45,Homens,0 a 4 anos,2012-10-01,188.0,
46,Homens,0 a 4 anos,2012-11-01,174.0,
47,Homens,0 a 4 anos,2012-12-01,180.0,
48,Homens,0 a 4 anos,2013-01-01,148.0,
49,Homens,0 a 4 anos,2013-02-01,158.0,
50,Homens,0 a 4 anos,2013-03-01,206.0,
51,Homens,0 a 4 anos,2013-04-01,209.0,
52,Homens,0 a 4 anos,2013-05-01,190.0,
53,Homens,0 a 4 anos,2013-06-01,199.0,
54,Homens,0 a 4 anos,2013-07-01,167.0,
55,Homens,0 a 4 anos,2013-08-01,186.0,
56,Homens,0 a 4 anos,2013-09-01,188.0,
57,Homens,0 a 4 anos,2013-10-01,148.0,
58,Homens,0 a 4 anos,2013-11-01,161.0,
59,Homens,0 a 4 anos,2013-12-01,193.0,
60,Homens,0 a 4 anos,2014-01-01,190.0,
61,Homens,0 a 4 anos,2014-02-01,176.0,
62,Homens,0 a 4 anos,2014-03-01,212.0,
63,Homens,0 a 4 anos,2014-04-01,167.0,
64,Homens,0 a 4 anos,2014-05-01,189.0,
65,Homens,0 a 4 anos,2014-06-01,190.0,
